sex,age,parch,fare,class,embark_town
1,22.0,0,7.25,3,1
2,38.0,0,71.2833,1,2
2,26.0,0,7.925,3,1
2,35.0,0,53.1,1,1
1,28.0,0,8.4583,3,3
1,2.0,1,21.075,3,1
2,27.0,2,11.1333,3,1
2,14.0,0,30.0708,2,2
2,4.0,1,16.7,3,1
1,20.0,0,8.05,3,1
1,39.0,5,31.275,3,1
2,14.0,0,7.8542,3,1
1,2.0,1,29.125,3,3
1,28.0,0,13.0,2,1
2,31.0,0,18.0,3,1
2,28.0,0,7.225,3,2
1,35.0,0,26.0,2,1
1,28.0,0,35.5,1,1
2,38.0,5,31.3875,3,1
1,28.0,0,7.225,3,2
1,19.0,2,263.0,1,1
2,28.0,0,7.8792,3,3
1,28.0,0,7.8958,3,1
1,40.0,0,27.7208,1,2
2,28.0,0,146.5208,1,2
2,28.0,0,7.75,3,3
1,66.0,0,10.5,2,1
1,28.0,0,82.1708,1,2
1,42.0,0,52.0,1,1
1,28.0,0,7.2292,3,2
2,14.0,0,11.2417,3,2
2,40.0,0,9.475,3,1
2,27.0,0,21.0,2,1
1,28.0,0,7.8958,3,2
2,3.0,2,41.5792,2,2
1,28.0,0,8.05,3,1
1,28.0,0,15.5,3,3
1,28.0,0,21.6792,3,2
2,18.0,0,17.8,3,1
1,7.0,1,39.6875,3,1
2,49.0,0,76.7292,1,2
2,29.0,0,26.0,2,1
1,65.0,1,61.9792,1,2
1,28.0,0,35.5,1,1
2,21.0,0,10.5,2,1
1,28.5,0,7.2292,3,2
1,11.0,2,46.9,3,1
1,22.0,0,7.2292,3,2
1,45.0,0,83.475,1,1
1,4.0,2,27.9,3,1
1,28.0,1,15.2458,3,2
1,19.0,0,8.1583,3,1
2,17.0,2,7.925,3,1
1,26.0,0,8.6625,3,1
1,32.0,0,10.5,2,1
1,21.0,0,73.5,2,1
1,32.0,0,56.4958,3,1
1,25.0,0,7.65,3,1
1,28.0,0,7.8958,3,1
1,28.0,0,8.05,3,1
1,0.83,2,29.0,2,1
2,30.0,0,12.475,3,1
1,22.0,0,9.0,3,1
1,29.0,0,9.5,3,1
2,28.0,0,7.7875,3,3
1,28.0,0,47.1,1,1
1,16.0,3,34.375,3,1
1,28.0,0,8.05,3,1
2,23.0,2,263.0,1,1
1,24.0,0,8.05,3,1
1,46.0,0,61.175,1,1
1,59.0,0,7.25,3,1
1,28.0,0,8.05,3,1
1,71.0,0,34.6542,1,2
1,23.0,1,63.3583,1,2
2,34.0,1,23.0,2,1
1,34.0,0,26.0,2,1
2,28.0,0,7.8958,3,1
1,28.0,0,7.8958,3,1
1,21.0,1,77.2875,1,1
1,33.0,0,8.6542,3,1
1,37.0,0,7.925,3,1
1,28.0,0,7.8958,3,1
1,28.0,0,7.775,3,1
2,28.0,0,24.15,3,3
1,47.0,0,52.0,1,1
2,14.5,0,14.4542,3,2
1,22.0,0,8.05,3,1
2,17.0,0,14.4583,3,2
1,21.0,0,7.925,3,1
1,70.5,0,7.75,3,3
1,29.0,0,21.0,2,1
1,24.0,1,247.5208,1,2
1,28.0,0,8.05,3,1
1,32.5,0,30.0708,2,2
2,32.5,0,13.0,2,1
1,28.0,0,7.75,3,3
1,24.0,0,7.1417,3,1
1,45.0,0,6.975,3,1
1,20.0,0,7.05,3,1
2,47.0,0,14.5,3,1
1,23.0,0,15.0458,2,2
2,19.0,2,26.2833,1,1
1,37.0,0,53.1,1,1
1,16.0,0,9.2167,3,1
1,24.0,0,79.2,1,2
2,28.0,2,15.2458,3,2
2,22.0,0,7.75,3,1
1,19.0,0,6.75,3,3
1,18.0,0,11.5,2,1
2,9.0,2,34.375,3,1
1,51.0,0,12.525,2,1
1,55.5,0,8.05,3,1
1,40.5,2,14.5,3,1
1,28.0,0,7.3125,3,1
1,51.0,1,61.3792,1,2
2,16.0,0,7.7333,3,3
1,28.0,0,8.6625,3,1
1,28.0,2,69.55,3,1
1,44.0,1,16.1,3,1
1,26.0,0,7.775,3,1
1,17.0,0,8.6625,3,1
1,1.0,1,39.6875,3,1
2,28.0,1,55.0,1,1
1,28.0,0,56.4958,3,1
1,4.0,1,29.125,3,3
1,18.0,1,7.8542,3,1
1,28.0,1,25.4667,3,1
2,50.0,0,28.7125,1,2
1,30.0,0,13.0,2,1
1,36.0,0,0.0,3,1
2,28.0,2,69.55,3,1
1,28.0,0,15.05,2,2
1,9.0,2,31.3875,3,1
2,4.0,2,22.025,3,1
2,28.0,0,15.5,3,3
